entity_id,source_id,notes,created_by,updated_by
c55f4727-1c57-4934-9d17-5e47cf8167bf,4,Physical characteristics and capacity estimates for PCRST,1,
af93b77e-e2cd-42bc-ada8-597d0b595bff,1,Reservoir entity PEDRO from CalSim documentation,1,
af93b77e-e2cd-42bc-ada8-597d0b595bff,4,Physical characteristics and capacity estimates for PEDRO,1,
af93b77e-e2cd-42bc-ada8-597d0b595bff,2,Operational analysis for major reservoir PEDRO,1,
b8db45f6-55d7-4fcb-b201-3089f3d39b77,1,Reservoir entity RELIE from CalSim documentation,1,
b8db45f6-55d7-4fcb-b201-3089f3d39b77,4,Physical characteristics and capacity estimates for RELIE,1,
80d3e44a-8797-4abb-8947-a4732b208173,1,Reservoir entity RLLNS from CalSim documentation,1,
80d3e44a-8797-4abb-8947-a4732b208173,4,Physical characteristics and capacity estimates for RLLNS,1,
d9702da3-11aa-43dd-8d97-d941128471fa,1,Reservoir entity RNCHO from CalSim documentation,1,
d9702da3-11aa-43dd-8d97-d941128471fa,4,Physical characteristics and capacity estimates for RNCHO,1,
cfc7c6b2-49aa-4c46-b7c1-5b4e2f26584e,1,Reservoir entity RVPHB from CalSim documentation,1,
cfc7c6b2-49aa-4c46-b7c1-5b4e2f26584e,4,Physical characteristics and capacity estimates for RVPHB,1,
6d90cba4-eca1-40a6-b391-91472c6a86e4,1,Reservoir entity SCOTF from CalSim documentation,1,
6d90cba4-eca1-40a6-b391-91472c6a86e4,4,Physical characteristics and capacity estimates for SCOTF,1,
a758087d-c566-42e8-ad17-9a8fda15aaa0,1,Reservoir entity SGRGE from CalSim documentation,1,
a758087d-c566-42e8-ad17-9a8fda15aaa0,4,Physical characteristics and capacity estimates for SGRGE,1,
152e95b7-1f6b-4af6-8239-b7589351b732,1,Reservoir entity SHSTA from CalSim documentation,1,
152e95b7-1f6b-4af6-8239-b7589351b732,4,Physical characteristics and capacity estimates for SHSTA,1,
152e95b7-1f6b-4af6-8239-b7589351b732,2,Operational analysis for major reservoir SHSTA,1,
08b3fed8-11ca-43be-928a-a30ecf131049,1,Reservoir entity SILVR from CalSim documentation,1,
08b3fed8-11ca-43be-928a-a30ecf131049,4,Physical characteristics and capacity estimates for SILVR,1,
12376cbc-0f3d-45f6-be7a-b7f133cb9963,1,Reservoir entity SLTSP from CalSim documentation,1,
12376cbc-0f3d-45f6-be7a-b7f133cb9963,4,Physical characteristics and capacity estimates for SLTSP,1,
220f24a4-4f91-4d68-8e88-0324b8fc382b,1,Reservoir entity SLUIS from CalSim documentation,1,
220f24a4-4f91-4d68-8e88-0324b8fc382b,4,Physical characteristics and capacity estimates for SLUIS,1,
3e16279b-d4ff-4b6b-a430-652fbfc1dccc,1,Reservoir entity SLUIS+AF8-CVP from CalSim documentation,1,
3e16279b-d4ff-4b6b-a430-652fbfc1dccc,4,Physical characteristics and capacity estimates for SLUIS+AF8-CVP,1,
3e16279b-d4ff-4b6b-a430-652fbfc1dccc,2,Operational analysis for major reservoir SLUIS+AF8-CVP,1,
dd0e3a4d-19b0-4462-9d47-378b07ec66fa,1,Reservoir entity SLUIS+AF8-SWP from CalSim documentation,1,
dd0e3a4d-19b0-4462-9d47-378b07ec66fa,4,Physical characteristics and capacity estimates for SLUIS+AF8-SWP,1,
dd0e3a4d-19b0-4462-9d47-378b07ec66fa,2,Operational analysis for major reservoir SLUIS+AF8-SWP,1,
a7f86697-8e82-421c-a176-25025fcf2745,1,Reservoir entity SLYCK from CalSim documentation,1,
a7f86697-8e82-421c-a176-25025fcf2745,4,Physical characteristics and capacity estimates for SLYCK,1,
6472dffa-50a0-450f-9a62-9b18de4421af,1,Reservoir entity SPICE from CalSim documentation,1,
6472dffa-50a0-450f-9a62-9b18de4421af,4,Physical characteristics and capacity estimates for SPICE,1,
0eaf1153-7022-4f0e-b85e-6c7542f8e490,1,Reservoir entity SPLDG from CalSim documentation,1,
0eaf1153-7022-4f0e-b85e-6c7542f8e490,4,Physical characteristics and capacity estimates for SPLDG,1,
99f9ea3e-aae8-4931-85d6-46044e8c6fef,1,Reservoir entity STMPY from CalSim documentation,1,
99f9ea3e-aae8-4931-85d6-46044e8c6fef,4,Physical characteristics and capacity estimates for STMPY,1,
1163df0f-575b-499f-9b74-9a1f1ba22fa3,1,Reservoir entity THRMA from CalSim documentation,1,
1163df0f-575b-499f-9b74-9a1f1ba22fa3,4,Physical characteristics and capacity estimates for THRMA,1,
1163df0f-575b-499f-9b74-9a1f1ba22fa3,2,Operational analysis for major reservoir THRMA,1,
5e6073ea-94a9-437d-98f8-30f10aaf28e4,1,Reservoir entity THRMF from CalSim documentation,1,
5e6073ea-94a9-437d-98f8-30f10aaf28e4,4,Physical characteristics and capacity estimates for THRMF,1,
5e6073ea-94a9-437d-98f8-30f10aaf28e4,2,Operational analysis for major reservoir THRMF,1,
81d67837-ef41-44ad-8284-45c3fb6189fe,1,Reservoir entity TRLCK from CalSim documentation,1,
81d67837-ef41-44ad-8284-45c3fb6189fe,4,Physical characteristics and capacity estimates for TRLCK,1,
81d67837-ef41-44ad-8284-45c3fb6189fe,2,Operational analysis for major reservoir TRLCK,1,
af3f599f-e419-45df-b737-e8b3a024ac2f,1,Reservoir entity TRNTY from CalSim documentation,1,
af3f599f-e419-45df-b737-e8b3a024ac2f,4,Physical characteristics and capacity estimates for TRNTY,1,
af3f599f-e419-45df-b737-e8b3a024ac2f,2,Operational analysis for major reservoir TRNTY,1,
17377341-1a22-4ad2-b50a-d50b456053c3,1,Reservoir entity TULOC from CalSim documentation,1,
17377341-1a22-4ad2-b50a-d50b456053c3,4,Physical characteristics and capacity estimates for TULOC,1,
17377341-1a22-4ad2-b50a-d50b456053c3,2,Operational analysis for major reservoir TULOC,1,
0722f037-ba5e-46d6-8643-75d7ac638f92,1,Reservoir entity UBEAR from CalSim documentation,1,
0722f037-ba5e-46d6-8643-75d7ac638f92,4,Physical characteristics and capacity estimates for UBEAR,1,
f9a54d53-03c8-468e-8c65-441c5d511ca9,1,Reservoir entity UNVLY from CalSim documentation,1,
f9a54d53-03c8-468e-8c65-441c5d511ca9,4,Physical characteristics and capacity estimates for UNVLY,1,
868a6243-ec04-4f4b-8c96-8f7346bf9ccf,1,Reservoir entity WDWRD from CalSim documentation,1,
868a6243-ec04-4f4b-8c96-8f7346bf9ccf,4,Physical characteristics and capacity estimates for WDWRD,1,
5d2f4f68-5455-49e2-95a1-cf70c0d124fa,1,Reservoir entity WKYTN from CalSim documentation,1,
5d2f4f68-5455-49e2-95a1-cf70c0d124fa,4,Physical characteristics and capacity estimates for WKYTN,1,
5d2f4f68-5455-49e2-95a1-cf70c0d124fa,2,Operational analysis for major reservoir WKYTN,1,
8ff3e951-d685-4007-8b83-0ffd65e0a10d,1,Reservoir entity CSTIC from CalSim documentation,1,
8ff3e951-d685-4007-8b83-0ffd65e0a10d,4,Physical characteristics and capacity estimates for CSTIC,1,
8ff3e951-d685-4007-8b83-0ffd65e0a10d,2,Operational analysis for major reservoir CSTIC,1,
700a9fd6-288b-4761-97ff-156695eded34,1,Reservoir entity DELVE from CalSim documentation,1,
700a9fd6-288b-4761-97ff-156695eded34,4,Physical characteristics and capacity estimates for DELVE,1,
067ca31a-b103-4583-9a26-a7207fecde4e,1,Reservoir entity ELENR from CalSim documentation,1,
067ca31a-b103-4583-9a26-a7207fecde4e,4,Physical characteristics and capacity estimates for ELENR,1,
5eb4098f-c40b-4be5-914e-3c1e9f7c9754,1,Reservoir entity HTCHY from CalSim documentation,1,
5eb4098f-c40b-4be5-914e-3c1e9f7c9754,4,Physical characteristics and capacity estimates for HTCHY,1,
7d9d3359-ff8e-463b-9194-21d52d3216f3,1,Reservoir entity LLOYD from CalSim documentation,1,
7d9d3359-ff8e-463b-9194-21d52d3216f3,4,Physical characteristics and capacity estimates for LLOYD,1,
6b6e7f6b-d096-4d85-9947-e70959dbf26d,1,Reservoir entity PRRIS from CalSim documentation,1,
6b6e7f6b-d096-4d85-9947-e70959dbf26d,4,Physical characteristics and capacity estimates for PRRIS,1,
6b6e7f6b-d096-4d85-9947-e70959dbf26d,2,Operational analysis for major reservoir PRRIS,1,
ccc3e7b3-91d3-4dd5-9288-a027ff0a9f67,1,Reservoir entity PYRMD from CalSim documentation,1,
ccc3e7b3-91d3-4dd5-9288-a027ff0a9f67,4,Physical characteristics and capacity estimates for PYRMD,1,
ccc3e7b3-91d3-4dd5-9288-a027ff0a9f67,2,Operational analysis for major reservoir PYRMD,1,
f2c3c442-1d96-4e6a-bb6f-5dab54a5355c,1,Reservoir entity SVRWD from CalSim documentation,1,
f2c3c442-1d96-4e6a-bb6f-5dab54a5355c,4,Physical characteristics and capacity estimates for SVRWD,1,
698491dc-6d19-4b8c-9a24-71ec8ddd2622,4,+ACI-Channel geometry and attributes for  etc+ACIAIg-+ACI-,1,
698491dc-6d19-4b8c-9a24-71ec8ddd2622,3,+ACI-Flow variable definitions for channel  etc+ACIAIg-+ACI-,1,
94fe5d1b-9b60-40d0-b4e2-a730d610d26c,4,Channel geometry and attributes for C+AF8-ABN000,1,
94fe5d1b-9b60-40d0-b4e2-a730d610d26c,3,Flow variable definitions for channel C+AF8-ABN000,1,
fc84abf7-2c36-4fea-b072-dc9ee62511e2,4,Channel geometry and attributes for C+AF8-ABN006,1,
fc84abf7-2c36-4fea-b072-dc9ee62511e2,3,Flow variable definitions for channel C+AF8-ABN006,1,
4aca1a4f-6def-404b-aa44-e87c8d69454c,4,Channel geometry and attributes for C+AF8-ABN010,1,
4aca1a4f-6def-404b-aa44-e87c8d69454c,3,Flow variable definitions for channel C+AF8-ABN010,1,
f718d97a-8f2f-4fee-b5d0-b2364312a6d5,4,Channel geometry and attributes for C+AF8-ABN014,1,
f718d97a-8f2f-4fee-b5d0-b2364312a6d5,3,Flow variable definitions for channel C+AF8-ABN014,1,
c4b60278-f6b5-4446-bd15-257b662e5b48,4,Channel geometry and attributes for C+AF8-ABN024,1,
c4b60278-f6b5-4446-bd15-257b662e5b48,3,Flow variable definitions for channel C+AF8-ABN024,1,
e8081fbf-ad32-499d-9a2c-c691e5f6965e,4,Channel geometry and attributes for C+AF8-ABN026,1,
e8081fbf-ad32-499d-9a2c-c691e5f6965e,3,Flow variable definitions for channel C+AF8-ABN026,1,
